Source,Target,UniprotKB ACC,PATRIC ID
fig|223283.9.peg.4610,PSPTO_4494,,fig|223283.9.peg.4610
fig|223283.9.peg.4611,PSPTO_4495,,fig|223283.9.peg.4611
fig|223283.9.peg.4612,PSPTO_4496,,fig|223283.9.peg.4612
fig|223283.9.peg.4617,PSPTO_4501,,fig|223283.9.peg.4617
fig|223283.9.peg.4618,PSPTO_4502,,fig|223283.9.peg.4618
fig|223283.9.peg.4651,PSPTO_4533,,fig|223283.9.peg.4651
fig|223283.9.peg.4665,PSPTO_4547,,fig|223283.9.peg.4665
fig|223283.9.peg.4667,PSPTO_4549,,fig|223283.9.peg.4667
fig|223283.9.peg.4729,PSPTO_4615,,fig|223283.9.peg.4729
fig|223283.9.peg.4730,PSPTO_4616,,fig|223283.9.peg.4730
fig|223283.9.peg.4747,PSPTO_4632,,fig|223283.9.peg.4747
fig|223283.9.peg.4762,PSPTO_4647,,fig|223283.9.peg.4762
fig|223283.9.peg.4763,PSPTO_4648,,fig|223283.9.peg.4763
fig|223283.9.peg.4766,PSPTO_4651,,fig|223283.9.peg.4766
fig|223283.9.peg.477,PSPTO_0458,,fig|223283.9.peg.477
fig|223283.9.peg.479,PSPTO_0460,,fig|223283.9.peg.479
fig|223283.9.peg.480,PSPTO_0461,,fig|223283.9.peg.480
fig|223283.9.peg.4802,PSPTO_4685,,fig|223283.9.peg.4802
fig|223283.9.peg.4907,PSPTO_4795,,fig|223283.9.peg.4907
fig|223283.9.peg.4909,PSPTO_4798,,fig|223283.9.peg.4909
fig|223283.9.peg.4910,PSPTO_4799,,fig|223283.9.peg.4910
fig|223283.9.peg.4922,PSPTO_4812,,fig|223283.9.peg.4922
fig|223283.9.peg.4924,PSPTO_4814,,fig|223283.9.peg.4924
fig|223283.9.peg.4940,PSPTO_4828,,fig|223283.9.peg.4940
fig|223283.9.peg.4941,PSPTO_4829,,fig|223283.9.peg.4941
fig|223283.9.peg.4953,PSPTO_4842,,fig|223283.9.peg.4953
fig|223283.9.peg.497,PSPTO_0480,,fig|223283.9.peg.497
fig|223283.9.peg.4971,PSPTO_4859,,fig|223283.9.peg.4971
fig|223283.9.peg.4972,PSPTO_4860,,fig|223283.9.peg.4972
fig|223283.9.peg.4973,PSPTO_4861,,fig|223283.9.peg.4973
fig|223283.9.peg.4978,PSPTO_4866,,fig|223283.9.peg.4978
fig|223283.9.peg.4979,PSPTO_4867,,fig|223283.9.peg.4979
fig|223283.9.peg.5003,PSPTO_4890,,fig|223283.9.peg.5003
fig|223283.9.peg.5004,PSPTO_4891,,fig|223283.9.peg.5004
fig|223283.9.peg.5007,PSPTO_4894,,fig|223283.9.peg.5007
fig|223283.9.peg.5008,PSPTO_4895,,fig|223283.9.peg.5008
