rxn05438_c,PSPTO_3721,
rxn05443_c,PSPTO_3721,
rxn05445_c,PSPTO_3721,
rxn05446_c,PSPTO_3721,
rxn05447_c,PSPTO_3721,
rxn05448_c,PSPTO_3721,
rxn05449_c,PSPTO_3721,
rxn05460_c,((PSPTO_3830 or PSPTO_4683) and PSPTO_1916),
rxn05464_c,PSPTO_3721,
rxn05493_c,PSPTO_4296,
rxn05501_c,(PSPTO_0954 and Unknown and Unknown and Unknown and Unknown),
rxn05506_c,PSPTO_3798,
rxn05507_c,PSPTO_3798,
rxn05514_c,PSPTO_0764,
rxn05549_c,((PSPTO_1161 or PSPTO_2369 or PSPTO_2400) and PSPTO_2367 and (PSPTO_2368 or PSPTO_2398) and Unknown),
rxn05567_c,(Unknown and Unknown and PSPTO_0954 and Unknown and Unknown),
rxn05569_c,(PSPTO_0954 and Unknown),
rxn05578_c,PSPTO_5238,
rxn05594_c,((PSPTO_1788 or PSPTO_1791) and PSPTO_1796 and PSPTO_1797),
rxn05599_c,(PSPTO_1797 and (PSPTO_1791 or PSPTO_1788) and PSPTO_1796),
rxn05616_c,(PSPTO_3701 or PSPTO_2064 or PSPTO_2295 or PSPTO_2798),
rxn05625_c,PSPTO_2304,
rxn05627_c,PSPTO_2304,
rxn05638_c,(PSPTO_1579 or PSPTO_5488 or PSPTO_0838),
rxn05644_c,((PSPTO_2400 or PSPTO_1161 or PSPTO_2369) and PSPTO_2367 and Unknown and (PSPTO_2368 or PSPTO_2398)),
rxn05647_c,(PSPTO_0954 and Unknown and Unknown and Unknown and Unknown),
rxn05651_c,(PSPTO_3593 or PSPTO_3234 or PSPTO_0168),
rxn05663_c,PSPTO_1817,
rxn05669_c,PSPTO_2206,
rxn05682_c,PSPTO_1871,
rxn05733_c,PSPTO_3902,
rxn05734_c,(PSPTO_0092 or PSPTO_3064 or PSPTO_2673 or PSPTO_0418 or PSPTO_0728 or PSPTO_1881),
rxn05735_c,(PSPTO_0092 or PSPTO_3064 or PSPTO_2673 or PSPTO_1881 or PSPTO_0728 or PSPTO_0418),
rxn05737_c,(PSPTO_3466 or PSPTO_1795),
rxn05814_c,PSPTO_0075,
rxn05871_c,(PSPTO_1337 or PSPTO_2957 or PSPTO_4285 or PSPTO_2182 or PSPTO_2697),
rxn05872_c,(PSPTO_2182 or PSPTO_2697 or PSPTO_1337 or PSPTO_2957 or PSPTO_4285),
rxn05909_c,PSPTO_2430,
rxn05937_c,(PSPTO_4642 or PSPTO_4024),
rxn05975_c,PSPTO_2680,
rxn06022_c,PSPTO_4355,
rxn06037_c,PSPTO_3517,
rxn06078_c,PSPTO_3810,
rxn06098_c,PSPTO_0495,
rxn06099_c,(PSPTO_2470 or PSPTO_1345 or PSPTO_1052),
rxn06160_c,PSPTO_1169,
rxn06197_c,PSPTO_1669,
rxn06377_c,PSPTO_1276,
rxn06394_c,(PSPTO_3170 or PSPTO_3694 or PSPTO_3318),
rxn06488_c,PSPTO_5299,
rxn06510_c,(PSPTO_3164 or (PSPTO_3516 or PSPTO_2940 or PSPTO_0744)),
rxn06515_c,PSPTO_1742,
rxn06517_c,(PSPTO_0701 or PSPTO_4265),
rxn06526_c,PSPTO_4858,
rxn06570_c,PSPTO_1742,
rxn06577_c,PSPTO_0949,
rxn06600_c,(((PSPTO_0316 or PSPTO_1275) and (PSPTO_0317 or PSPTO_1277)) or PSPTO_1699),
rxn06631_c,PSPTO_0517,
rxn06647_c,PSPTO_1777,
rxn06690_c,PSPTO_1547,
rxn06728_c,PSPTO_0699,
rxn06735_c,PSPTO_0699,
